"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Product Search","0","BoardBot Search","1","0","Compact 3U ATCA Chassis with 2 Slots","0"
"0","Product Search","0","BoardBot Search","1","0","Reconfigurable FPGA AMC with 100G I/O and DDR3","0"
"0","Product Search","0","BoardBot Search","1","0","Rugged MicroTCA Chassis for Mil/Aero","0"
"0","Product Search","0","BoardBot Search","1","0","AMC FPGA Module with Dual zQSFP+ 100G Ethernet","0"
"0","Product Search","0","BoardBot Search","1","0","Carrier-Grade ATCA for Network Workloads","0"
"0","Product Search","0","BoardBot Search","1","0","AdvancedMC Intel Xeon E-2276ME Board","0"
"0","Product Search","0","BoardBot Search","1","0","AMC with FPGA, P2040 Processor, and PCIe x4","0"
"0","Product Search","0","BoardBot Search","1","0","2-Slot ATCA Chassis with 40Gbps Backplane","0"
"0","Product Search","0","BoardBot Search","1","0","AdvancedMC Xeon CPU Board with ECC DDR4","0"
"0","Product Search","0","BoardBot Search","1","0","High-End Telecom ATCA Platform","0"
"0","Product Search","0","BoardBot Search","1","0","MicroTCA 1U Enclosure with PCIe Gen3","0"
"0","Product Search","0","BoardBot Search","1","0","Short 3U ATCA Chassis with Strong Cooling","0"
"0","Product Search","0","BoardBot Search","1","0","AdvancedMC Processor Board Search","0"
"0","Product Search","0","BoardBot Search","1","0","MicroTCA 1U Chassis with Modern Shelf Manager","0"
"0","Product Search","0","BoardBot Search","1","0","Netarium-14 ATCA Reference System","0"
