"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","TC2.1: Search for carrier-grade ATCA for network workloads and packet processing","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 2.1","AdvancedTCA/advancedtca-2.1.spec.ts","",""
"","3","TC3.3: Search for AMC with FPGA, P2040 processor, and PCIe x4 link","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 3.3","AdvancedMC/advancedmc-3.3.spec.ts","",""
"","6","TC1: Intel Xeon 6-core 2.8GHz with PCIe/RapidIO fabric","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation (Clean)","boardbot-product-validation.spec.js","",""
"","3","TC1: Search for AdvancedMC processor board with 6-core Intel Xeon","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 1.1","AdvancedMC/advancedmc-1.1.spec.ts","",""
"","3","TC1.3: Search for 2-slot ATCA chassis with 40Gbps backplane and mesh topology","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 1.3","AdvancedTCA/advancedtca-1.3.spec.ts","",""
"","6","TC4: Compare results across all query variations","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation (Clean)","boardbot-product-validation.spec.js","",""
"","6","TC2: Xeon with ECC DDR4 16GB and 10G Ethernet","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot - AdvancedMC Processor Validation (Clean)","boardbot-product-validation.spec.js","",""
"","3","TC2: Search for AdvancedMC Xeon-based CPU board with ECC DDR4 and 10G Ethernet","chromium","2025-12-22","failed","2025-12-22","AdvancedMC Product Search - Suite 1.2","AdvancedMC/advancedmc-1.2.spec.ts","",""
"","3","TC1.2: Search for short 3U ATCA chassis with strong cooling and redundant power","chromium","2025-12-22","failed","2025-12-22","AdvancedTCA Product Search - Suite 1.2","AdvancedTCA/advancedtca-1.2.spec.ts","",""
"","9","Verify BoardBot interface elements","chromium","2025-12-22","failed","2025-12-22","PICMG BoardBot Tests","boardbot.spec.js","",""
